"""Our obligation is to stay at his side,"" he said and applauded."	"""It is our duty to remain at his sides,"" he said, to applause."	0.358416185713199	0.8	0.9782152812750806	0.5555555555555556	0.97332567	0.8803724646568298	0.9081387	0.89525026	0.6633198909353761	0.9118595	0.88456726	0.9489326	0.86754733	0.2559776306152344
A boy whose taken photo after attack has become a symbol of horrors in beslanu	The boy whose shocking image after the siege came to define the horror of Beslan	0.577025967966092	0.8	0.9217367953107579	0.26666666666666666	0.88386077	0.8204138278961182	0.8311695	0.7943218	0.6258127682952075	0.8938094	0.8255337	0.78000146	0.8495866	0.0968375951051712
Reiterated his party's call for the dissolution of Parliament and has said that he is convinced that the party could win early elections and that it is ready to govern the country.	She reiterated her party's call for a parliamentary dissolution, saying she was confident it could win early elections and stood ready to govern.	-0.325779297132764	0.736842105263158	0.9524473836551977	0.42412008495674103	0.9484862	0.8594808578491211	0.94092286	0.86593574	0.6304674735422032	0.86065906	0.89820975	0.9256585	0.7778171	-0.19365930557250977
This is particularly important if natáčíte with outdoorovou camera : such facilities are usually a firm and wide angle lens , which means that if you want to fill fotorámeček , you need to points more .	It's particularly important if you're shooting with an action cam: These devices often have a fixed, wide angle lens, which means you have to get closer to your subjects if you want them to fill the picture frame.	-0.762215091341812	0.7123287671232876	0.9804737336684847	0.4772727272727273	0.9762684	0.8202090859413147	0.85742116	0.7913375	0.6213074981154701	0.81801134	0.8638518	0.8259424	0.8192923	-0.02672816440463066
Lottery player in Harvey gets a million.	A Harvey lotto player is in the month.	-0.997300051110044	0.6666666666666667	0.9463185290735778	0.4444444444444444	0.9070257	0.7825559973716736	0.7893573	0.7937646	0.5669578205812202	0.6579364	0.6731522	0.77882564	0.6684307	-1.0937196016311646
Louisiana is between the eleven states which the similar laws passed the courts in Alabama, and Mississippi, declared such measures by a provision constitutional.	Louisiana is among 11 states that have passed similar laws, with courts recently ruling unconstitutional such measures in Alabama and Mississippi.	0.105891654081194	0.8444444444444444	0.95863548061147	0.5480673718244986	0.95401627	0.7960430383682251	0.87140965	0.93240064	0.6274348895042209	0.7482424	0.85105485	0.9156659	0.82260823	0.11553575098514557
"Needles of asbestos get into a tissue of lungs says Treasure, and "" an it breathing pushing them an edge there where výstelka locates."	"Once the asbestos needles get into the lung tissue, says Treasure, ""the act of breathing pushes them on the periphery, which is where the lining is."	-0.74190843661749	0.6938775510204082	0.95322917524828	0.41935483870967744	0.95933384	0.7863346934318542	0.88192546	0.93409216	0.5827246750981878	0.8762792	0.7299296	0.815596	0.8642866	-0.4262984097003937
Andrew Lawson was not old.	Andrew Lawson was not old.	1.3156582745199	1.0	1.0000000000000002	1.0	1.0000001	1.0	1.0	1.0000001	0.9996824970840834	0.9999999	0.9999999	1.0	1.0	0.9995793700218201
"""We have a little bit of fear, but otherwise we look forward,"" said Ronit Bartová, a resident of Kibbutz Saad and English teacher at a local school."	"""We are a little scared but we are excited,"" said Ronit Bart, a resident of Kibbutz Saad and an English teacher in its school."	0.259142869407625	0.7058823529411764	0.9786052782371825	0.6308391090129188	0.97581035	0.89617919921875	0.9490182	0.951735	0.6847719718391299	0.91392237	0.9572511	0.9165194	0.8601786	0.10834620893001556
However, if the hose was thinner - as a hair or capillary -, curved dimension we discovered with a great deal of effort.	But if the hose were thinner, like a piece of hair or a capillary, we could uncover the coiled dimension only with great effort.	-0.00595835127626566	0.7555555555555555	0.9729136737388764	0.6666666666666666	0.96878666	0.8738003373146057	0.91642106	0.8542054	0.6493298043957755	0.83893657	0.89882594	0.84643894	0.845551	0.20634020864963531
