A plane is taking off.	An air plane is taking off.	5.000	0.9090909090909091	0.9827280376109259	0.7142857142857143	0.9321869	0.9633866548538208	0.9365545	0.9811431	0.7733631861995395	0.9920351	0.97515357	0.922083	0.9877722	0.8488091230392456
A man is playing a large flute.	A man is playing a flute.	3.800	0.9230769230769231	0.9941201111925811	0.8668778997501817	0.9820147	0.9798337817192078	0.9300362	0.8926036	0.8097856178018089	0.8763152	0.9737077	0.8599701	0.9400805	0.7322386503219604
A man is spreading shreded cheese on a pizza.	A man is spreading shredded cheese on an uncooked pizza.	3.800	0.9473684210526316	0.9894558519574836	0.7272727272727273	0.95817566	0.9425469040870667	0.9194719	0.96781796	0.7843752575182424	0.9739456	0.9657442	0.92521554	0.96186626	0.5414642691612244
Three men are playing chess.	Two men are playing chess.	2.600	1.0	0.9372049058545711	0.8333333333333334	0.9931216	0.9848067760467529	0.95808214	0.9403964	0.8523428714921841	0.99701226	0.9856202	0.8431048	0.72514313	0.44542837142944336
A man is playing the cello.	A man seated is playing the cello.	4.250	0.9230769230769231	0.9924678123799388	0.875	0.9799076	0.9292985796928406	0.9150495	0.88360965	0.7584428832074258	0.948514	0.95499283	0.8878418	0.8765645	0.326118528842926
Some men are fighting.	Two men are fighting.	4.250	1.0	0.9021098460044105	0.8	0.940926	0.9065676927566528	0.9060587	0.9193595	0.7130958072857772	0.9919165	0.9137531	0.7554008	0.9423847	-0.4418121874332428
A man is smoking.	A man is skating.	0.500	1.0	0.9823116356652689	0.8	0.91359955	0.8940243721008301	0.70015734	0.40839273	0.6904359516815542	0.368214	0.85736316	0.8032353	0.058088902	-1.1853973865509033
The man is playing the piano.	The man is playing the guitar.	1.600	1.0	0.9915415721339199	0.8571428571428571	0.98263216	0.9775362014770508	0.8512292	0.59709185	0.8004994277729315	0.32592985	0.94827425	0.82996213	0.38612568	-0.05169307813048363
A man is playing on a guitar and singing.	A woman is playing an acoustic guitar and singing.	2.200	0.8888888888888888	0.9754310820203007	0.7	0.9447152	0.9384015798568726	0.8837724	0.7841004	0.7617070577461361	0.6574714	0.9709007	0.79382646	0.584354	0.09891051054000854
A person is throwing a cat on to the ceiling.	A person throws a cat on the ceiling.	5.000	0.7777777777777778	0.9845557856675373	0.7117665803704959	0.9774382	0.9381735920906067	0.9628769	0.99153256	0.7509204742077705	0.98835665	0.9591274	0.9869374	0.98817194	0.5445153713226318
