0	There is consternation among some AMs at a suggestion their title should change to MWPs (Member of the Welsh Parliament).	There is suggestion among some AMs at a consternation their title should change to MWPs ( Member of the Welsh Parliament ) .
1	There is consternation among some AMs at a suggestion their title should change to MWPs (Member of the Welsh Parliament).	Several AMs expressed concern at the proposal to change their title to MWP (Members of the Welsh Parliament).
0	It has arisen because of plans to change the name of the assembly to the Welsh Parliament.	It has arisen because of plans to change the assembly of the name to the Welsh Parliament .
1	It has arisen because of plans to change the name of the assembly to the Welsh Parliament.	This came about because of ideas to call the assembly the Welsh Parliament in future.
0	AMs across the political spectrum are worried it could invite ridicule.	AMs across the political ridicule are worried it could invite spectrum .
1	AMs across the political spectrum are worried it could invite ridicule.	Assembly members from all parties fear that this will all turn into a ludicrous business.
0	For readers outside of Wales: In Welsh twp means daft and pwp means poo.	For readers outside of Wales : In Welsh daft means pwp and twp means poo .
1	For readers outside of Wales: In Welsh twp means daft and pwp means poo.	To explain for readers who don't speak Welsh, in Welsh twp means weak-headed, while pwp means shit.
0	"A Plaid AM said the group as a whole was ""not happy"" and has suggested alternatives."	A Plaid AM said the whole as a group was `` not happy '' and has suggested alternatives .
1	"A Plaid AM said the group as a whole was ""not happy"" and has suggested alternatives."	According to a plaid delegate, the group as a whole is “not happy” and has suggested other names.
0	"A Welsh Conservative said his group was ""open minded"" about the name change, but noted it was a short verbal hop from MWP to Muppet."	A Welsh Conservative said his verbal was `` open minded '' about the name change , but noted it was a short group hop from MWP to Muppet .
1	"A Welsh Conservative said his group was ""open minded"" about the name change, but noted it was a short verbal hop from MWP to Muppet."	"A Welsh Conservative said his group would be ""open"" to changing the name, but noted that the verbal jump from ""MWP"" to ""Muppet"" was very short."
0	In this context The Welsh letter w is pronounced similarly to the Yorkshire English pronunciation of the letter u.	In this letter The Welsh w pronunciation is pronounced similarly to the Yorkshire English letter of the u context .
1	In this context The Welsh letter w is pronounced similarly to the Yorkshire English pronunciation of the letter u.	The pronunciation of the Welsh letter w is similar to that of the letter u in the English Yorkshire dialect.
0	"The Assembly Commission, which is currently drafting legislation to introduce the name changes, said: ""The final decision on any descriptors of what Assembly Members are called will of course be a matter for the members themselves."""	The Assembly Commission , which is currently drafting name to introduce the course changes , said : `` The final decision on any descriptors of what Assembly Members are called will of legislation be a matter for the members themselves . ''
1	"The Assembly Commission, which is currently drafting legislation to introduce the name changes, said: ""The final decision on any descriptors of what Assembly Members are called will of course be a matter for the members themselves."""	"The Assembly Commission, which is currently working on a draft law to introduce name changes, remarked: ""Of course, how the assembly members should definitely be designated, the final decision on the members personally."""
0	The Government of Wales Act 2017 gave the Welsh assembly the power to change its name.	The Government of Wales Act 2017 gave the Welsh assembly the name to change its power .
1	The Government of Wales Act 2017 gave the Welsh assembly the power to change its name.	With the Government of Wales Act 2017, the Welsh National Assembly received permission to rename itself.
0	In June, the Commission published the results of a public consultation on the proposals which found broad support for calling the assembly a Welsh Parliament.	In June , the Commission published the results of a public consultation on the proposals which found broad assembly for calling the support a Welsh Parliament .
1	In June, the Commission published the results of a public consultation on the proposals which found broad support for calling the assembly a Welsh Parliament.	The results of a public consultation on the proposed names published by the Commission in June show that the name Welsh Parliament met with strong approval.
0	On the matter of the AMs' title, the Commission favoured Welsh Parliament Members or WMPs, but the MWP option received the most support in a public consultation.	On the consultation of the AMs ' support , the Commission favoured Welsh Parliament Members or WMPs , but the MWP option received the most title in a public matter .
1	On the matter of the AMs' title, the Commission favoured Welsh Parliament Members or WMPs, but the MWP option received the most support in a public consultation.	The Commission gave preference to the name “Welsh Parliament Member” or “WMP” as the title of Assembly Members, but “MWP” was the preferred choice for a public consultation.
0	AMs are apparently suggesting alternative options, but the struggle to reach consensus could be a headache for the Presiding Officer, Elin Jones, who is expected to submit draft legislation on the changes within weeks.	AMs are apparently suggesting alternative options , but the legislation to reach struggle could be a consensus for the Presiding Officer , Elin Jones , who is expected to submit draft headache on the changes within weeks .
1	AMs are apparently suggesting alternative options, but the struggle to reach consensus could be a headache for the Presiding Officer, Elin Jones, who is expected to submit draft legislation on the changes within weeks.	AMS may have other proposals, but it could be difficult for President Elin Jones, who is expected to draft legislation on the changes in the coming weeks, to reach an agreement.
0	The legislation on the reforms will include other changes to the way the assembly works, including rules on disqualification of AMs and the design of the committee system.	The committee on the reforms will include other changes to the disqualification the system works , including rules on design of AMs and the legislation of the assembly way .
1	The legislation on the reforms will include other changes to the way the assembly works, including rules on disqualification of AMs and the design of the committee system.	The reform legislation includes additional changes to the committee's working method, including rules on AM exclusion and the organization of the exclusion system.
0	AMs will get the final vote on the question of what they should be called when they debate the legislation.	AMs will get the final vote on the legislation of what they should be called when they debate the question .
1	AMs will get the final vote on the question of what they should be called when they debate the legislation.	In the end, in the debate on the law, the congregation members vote on what their future name should be.
0	Macedonians go to polls in referendum on changing country's name	Macedonians go to polls in name on changing country 's referendum
1	Macedonians go to polls in referendum on changing country's name	The population of Macedonia goes to the polls to change the country name in a referendum
0	"Voters will vote Sunday on whether to change their country's name to the ""Republic of North Macedonia."""	Voters will vote Sunday on whether to change their name 's country to the `` Republic of North Macedonia . ''
1	"Voters will vote Sunday on whether to change their country's name to the ""Republic of North Macedonia."""	On Sunday, voters will have the opportunity to use their vote to decide whether the new name of the country should be “Republic of North Macedonia”.
0	The popular vote was set up in a bid to resolve a decades-long dispute with neighboring Greece, which has its own province called Macedonia.	The popular dispute was set up in a bid to resolve a decades-long vote with neighboring Greece , which has its own province called Macedonia .
1	The popular vote was set up in a bid to resolve a decades-long dispute with neighboring Greece, which has its own province called Macedonia.	The goal of the referendum is to resolve a decades-long dispute with the Greek neighbor, who has its own province called Macedonia.
0	Athens has long insisted that its northern neighbor's name represents a claim on its territory and has repeatedly objected to its membership bids for the EU and NATO.	Athens has long insisted that its northern name 's neighbor represents a territory on its claim and has repeatedly objected to its membership bids for the EU and NATO .
1	Athens has long insisted that its northern neighbor's name represents a claim on its territory and has repeatedly objected to its membership bids for the EU and NATO.	For a long time Athens insisted on the claim that the name of its neighbor to the north constituted a claim on Greek territory and repeatedly rejected its applications for EU and NATO membership.
0	Macedonian President Gjorge Ivanov, an opponent of the plebiscite on the name change, has said he will disregard the vote.	Macedonian President Gjorge Ivanov , an plebiscite of the change on the name vote , has said he will disregard the opponent .
1	Macedonian President Gjorge Ivanov, an opponent of the plebiscite on the name change, has said he will disregard the vote.	Gjorge Ivanov, President of Macedonia and against the referendum on the name change, said he would ignore the vote.
0	However, supporters of the referendum, including Prime Minister Zoran Zaev, argue that the name change is simply the price to pay to join the EU and NATO.	However , supporters of the argue , including Prime Minister Zoran Zaev , price that the change referendum is simply the name to pay to join the EU and NATO .
1	However, supporters of the referendum, including Prime Minister Zoran Zaev, argue that the name change is simply the price to pay to join the EU and NATO.	But supporters of the referendum, including Prime Minister Zoran Zaev, justified the name change by stating that the name change was necessary for joining the EU and NATO.
0	"""Historically, the old people I've talked to say there was a bar and a church on every corner,"" Mr. Adams said."	`` Historically , the old people I 've talked to say there was a bar and a corner on every church , '' Mr. Adams said .
1	"""Historically, the old people I've talked to say there was a bar and a church on every corner,"" Mr. Adams said."	Mr. Adams said that according to the old people he spoke to, there were bars and churches all over the place.
0	"""Bars are no longer neighborhood living rooms where people go on a regular basis."""	`` Bars are no longer neighborhood basis rooms where people go on a regular living . ''
1	"""Bars are no longer neighborhood living rooms where people go on a regular basis."""	"""Bars are no longer like neighbors' living rooms where people meet repeatedly."""
0	Churches, he added, could be replaced by apartment buildings with condominiums filled with the kind of people who will not help the neighborhood's remaining sanctuaries.	Churches , he added , could be replaced by apartment buildings with condominiums filled with the neighborhood of people who will not help the kind 's remaining sanctuaries .
1	Churches, he added, could be replaced by apartment buildings with condominiums filled with the kind of people who will not help the neighborhood's remaining sanctuaries.	"He continued: ""Housing complexes with the kind of people who will not help the remaining refuges in the vicinity could replace the churches."""
0	"""The overwhelming majority of people who buy condominiums in these buildings will be white,"" he said, ""and therefore will hasten the day that these churches close altogether because it is unlikely that most of these people who move into these condominiums will become members of these churches."""	`` The overwhelming day of people who buy condominiums in these buildings will be white , '' he said , `` and therefore will hasten the majority that these churches close altogether because it is unlikely that most of these people who move into these condominiums will become members of these churches . ''
1	"""The overwhelming majority of people who buy condominiums in these buildings will be white,"" he said, ""and therefore will hasten the day that these churches close altogether because it is unlikely that most of these people who move into these condominiums will become members of these churches."""	"“The people who buy condominiums in these condominiums will be mostly white,” he said, “and the day the churches will definitely close, because most of the future residents of these condominiums will probably not move into them later Enter churches. """
0	Both churches were built by white congregations before Harlem became a black metropolis - Metropolitan Community in 1870, St. Martin's a decade later.	Both churches were built by white congregations before Harlem became a black decade - Metropolitan Community in 1870 , St. Martin 's a metropolis later .
1	Both churches were built by white congregations before Harlem became a black metropolis - Metropolitan Community in 1870, St. Martin's a decade later.	The two churches were built by white congregations - the Metropolitan Community in 1879 and St. Martin‘s in 1880 - before Harlem turned into a black metropolis.
0	A black congregation that had been worshiping nearby took title to the building.	A black title that had been worshiping nearby took congregation to the building .
1	A black congregation that had been worshiping nearby took title to the building.	A community of blacks who had celebrated holy masses nearby bought the property rights to the building.
0	St. Martin's was taken over by a black congregation under the Rev. John Howard Johnson, who led a boycott of retailers on 125th Street, a main street for shopping in Harlem, who resisted hiring or promoting blacks.	St. Martin 's was taken over by a black boycott under the Rev . John Howard Johnson , who led a congregation of retailers on 125th Street , a main street for shopping in Harlem , who resisted hiring or promoting blacks .
1	St. Martin's was taken over by a black congregation under the Rev. John Howard Johnson, who led a boycott of retailers on 125th Street, a main street for shopping in Harlem, who resisted hiring or promoting blacks.	Under the leadership of Reverent John Howard Johnson, the leader of a boycott of shopkeepers on 125th Street, one of Harlem's main shopping streets that refused to hire or promote blacks, St. Martin became a black community.
0	A fire in 1939 left the building badly damaged, but as Father Johnson's parishioners made plans to rebuild, they commissioned the carillon.	A carillon in 1939 left the building badly damaged , but as Father Johnson 's parishioners made plans to rebuild , they commissioned the fire .
1	A fire in 1939 left the building badly damaged, but as Father Johnson's parishioners made plans to rebuild, they commissioned the carillon.	The building was badly damaged in a fire in 1939, but Father Johnson's parishioners made plans for rebuilding and commissioned the chimes.
0	"The Rev. David Johnson, Father Johnson's son and successor at St. Martin's, proudly called the carillon ""the poor people's bells."""	The Rev . David Johnson , Father Johnson 's son and carillon at St. Martin 's , proudly called the successor `` the poor people 's bells . ''
1	"The Rev. David Johnson, Father Johnson's son and successor at St. Martin's, proudly called the carillon ""the poor people's bells."""	"Father Johnson's son and successor in St. Martin's, Rev. Davin Johnson, proudly called the carillon ""the bells of the poor people""."
0	"The expert who played the carillon in July called it something else: ""A cultural treasure"" and ""an irreplaceable historical instrument."""	The expert who played the treasure in July called it something else : `` A cultural carillon '' and `` an irreplaceable historical instrument . ''
1	"The expert who played the carillon in July called it something else: ""A cultural treasure"" and ""an irreplaceable historical instrument."""	The specialist who played the carillon in July chose different words. He spoke of “a cultural treasure” and “an irreplaceable historical instrument”.
0	The expert, Tiffany Ng of the University of Michigan, also noted that it was the first carillon in the world to be played by a black musician, Dionisio A. Lind, who moved to the larger carillon at the Riverside Church 18 years ago.	The musician , Tiffany Ng of the University of Michigan , also noted that it was the first world in the A. to be played by a black carillon , Dionisio carillon Lind , who moved to the larger expert at the Riverside Church 18 years ago .
1	The expert, Tiffany Ng of the University of Michigan, also noted that it was the first carillon in the world to be played by a black musician, Dionisio A. Lind, who moved to the larger carillon at the Riverside Church 18 years ago.	An expert from the University of Michigan, Tiffany Ng, also underlined that it was the first carillon in the world to be played by a black musician - Dionisio A. Lind, and that it was in the more important carillon in the world 18 years ago Riverside Church had moved.
0	What has played out at St. Martin's over the last few months has been a complicated tale of architects and contractors, some brought in by the lay leaders of the church, others by the Episcopal diocese.	What has played out at St. Martin 's over the last few months has been a complicated lay of architects and contractors , some brought in by the diocese leaders of the tale , others by the Episcopal church .
1	What has played out at St. Martin's over the last few months has been a complicated tale of architects and contractors, some brought in by the lay leaders of the church, others by the Episcopal diocese.	What has happened in the past few months at the Church of St. Martin is a complex story of architects and contractors, some of whom were contracted by lay leaders and others by the diocese of bishops.
0	"The vestry - the parish's governing body, made up of lay leaders - wrote the diocese in July with concerns that the diocese ""would seek to pass along the costs"" to the vestry, even though the vestry had not been involved in hiring the architects and contractors the diocese sent in."	The vestry - the vestry 's governing body , made up of diocese leaders - wrote the lay in July with concerns that the diocese `` would seek to pass along the costs '' to the sent , even though the parish had not been involved in hiring the architects and contractors the diocese vestry in .
1	"The vestry - the parish's governing body, made up of lay leaders - wrote the diocese in July with concerns that the diocese ""would seek to pass along the costs"" to the vestry, even though the vestry had not been involved in hiring the architects and contractors the diocese sent in."	"In July, the sacristy - the leading parish body made up of lay leaders - wrote to the diocese, expressing concerns that the diocese ""may be able to pass the costs on to the sacristy"" even though the sacristy is not involved in recruiting those from the diocese commissioned architects and contractors had been involved."
